Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,25.0,25.0,25.0,25.0,30250,30250,27750,29875,118125,1210,1210,1110,1195,
1,26.0,25.0,24.0,25.0,31460,30250,26640,29475,117825,1210,1210,1110,1179,
2,27.0,25.0,23.0,25.0,32670,30250,25530,29075,117525,1210,1210,1110,1163,
3,28.0,25.0,22.0,25.0,33880,30250,24420,28675,117225,1210,1210,1110,1147,
4,29.0,25.0,21.0,25.0,35090,30250,23310,28275,116925,1210,1210,1110,1131,
5,30.0,25.0,20.0,25.0,36300,30250,22200,27875,116625,1210,1210,1110,1115,
6,31.0,25.0,19.0,25.0,37510,30250,21090,27475,116325,1210,1210,1110,1099,
7,32.0,25.0,19.0,24.0,39072,30525,21375,26472,117444,1221,1221,1125,1103,
8,33.0,25.0,19.0,23.0,40656,30800,21660,25461,118577,1232,1232,1140,1107,
9,33.0,26.0,19.0,22.0,41019,32318,21945,24442,119724,1243,1243,1155,1111,
10,33.0,27.0,19.0,21.0,41382,33858,22230,23415,120885,1254,1254,1170,1115,
11,33.0,28.0,19.0,20.0,41745,35420,22515,22380,122060,1265,1265,1185,1119,
12,33.0,29.0,19.0,19.0,42108,37004,22800,21337,123249,1276,1276,1200,1123,
13,34.0,29.0,19.0,18.0,43758,37323,23085,20286,124452,1287,1287,1215,1127,
14,34.0,30.0,19.0,17.0,44132,38940,23370,19227,125669,1298,1298,1230,1131,
15,35.0,30.0,19.0,16.0,45815,39270,23655,18160,126900,1309,1309,1245,1135,
16,35.0,31.0,19.0,15.0,46200,40920,23940,17085,128145,1320,1320,1260,1139,
17,36.0,31.0,19.0,14.0,47916,41261,24225,16002,129404,1331,1331,1275,1143,
18,37.0,31.0,19.0,13.0,49654,41602,24510,14911,130677,1342,1342,1290,1147,
19,37.0,32.0,19.0,12.0,50061,43296,24795,13812,131964,1353,1353,1305,1151,
