Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,25.0,25.0,25.0,25.0,30250,30250,27750,29875,118125,1210,1210,1110,1195,
1,32.0,33.0,10.0,25.0,38720,39930,11100,23875,113625,1210,1210,1110,955,
2,39.0,41.0,10.0,10.0,53625,56375,13350,10150,133500,1375,1375,1335,1015,
3,43.0,52.0,5.0,0.0,63855,77220,7425,0,148500,1485,1485,1485,0,
4,45.0,50.0,5.0,0.0,66825,74250,7425,0,148500,1485,1485,1485,0,
5,46.0,50.0,4.0,0.0,68310,74250,5940,0,148500,1485,1485,1485,0,
6,42.0,54.0,4.0,0.0,62370,80190,5940,0,148500,1485,1485,1485,0,
7,37.0,61.0,2.0,0.0,54945,90585,2970,0,148500,1485,1485,1485,0,
8,38.0,61.0,1.0,0.0,56430,90585,1485,0,148500,1485,1485,1485,0,
9,38.0,61.0,1.0,0.0,56430,90585,1485,0,148500,1485,1485,1485,0,
10,36.0,63.0,1.0,0.0,53460,93555,1485,0,148500,1485,1485,1485,0,
11,32.0,67.0,1.0,0.0,47520,99495,1485,0,148500,1485,1485,1485,0,
12,32.0,67.0,1.0,0.0,47520,99495,1485,0,148500,1485,1485,1485,0,
13,34.0,65.0,1.0,0.0,50490,96525,1485,0,148500,1485,1485,1485,0,
14,32.0,66.0,2.0,0.0,47520,98010,2970,0,148500,1485,1485,1485,0,
15,25.0,72.0,3.0,0.0,37125,106920,4455,0,148500,1485,1485,1485,0,
16,28.0,71.0,1.0,0.0,41580,105435,1485,0,148500,1485,1485,1485,0,
17,30.0,70.0,0.0,0.0,44550,103950,0,0,148500,1485,1485,0,0,
18,29.0,71.0,0.0,0.0,43065,105435,0,0,148500,1485,1485,0,0,
19,29.0,71.0,0.0,0.0,43065,105435,0,0,148500,1485,1485,0,0,
