Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,25.0,25.0,25.0,25.0,30250,30250,27750,29875,118125,1210,1210,1110,1195,
1,28.0,32.0,15.0,25.0,33880,38720,16650,25875,115125,1210,1210,1110,1035,
2,33.0,37.0,15.0,15.0,43560,48840,18900,16125,127425,1320,1320,1260,1075,
3,36.0,44.0,15.0,5.0,51480,62920,21150,5575,141125,1430,1430,1410,1115,
4,42.0,48.0,10.0,0.0,62370,71280,14850,0,148500,1485,1485,1485,0,
5,39.0,51.0,10.0,0.0,57915,75735,14850,0,148500,1485,1485,1485,0,
6,39.0,49.0,12.0,0.0,57915,72765,17820,0,148500,1485,1485,1485,0,
7,38.0,52.0,10.0,0.0,56430,77220,14850,0,148500,1485,1485,1485,0,
8,41.0,48.0,11.0,0.0,60885,71280,16335,0,148500,1485,1485,1485,0,
9,41.0,47.0,12.0,0.0,60885,69795,17820,0,148500,1485,1485,1485,0,
10,38.0,51.0,11.0,0.0,56430,75735,16335,0,148500,1485,1485,1485,0,
11,38.0,50.0,12.0,0.0,56430,74250,17820,0,148500,1485,1485,1485,0,
12,37.0,50.0,13.0,0.0,54945,74250,19305,0,148500,1485,1485,1485,0,
13,34.0,50.0,16.0,0.0,50490,74250,23760,0,148500,1485,1485,1485,0,
14,31.0,50.0,19.0,0.0,46035,74250,28215,0,148500,1485,1485,1485,0,
15,27.0,53.0,20.0,0.0,40095,78705,29700,0,148500,1485,1485,1485,0,
16,22.0,57.0,21.0,0.0,32670,84645,31185,0,148500,1485,1485,1485,0,
17,24.0,57.0,19.0,0.0,35640,84645,28215,0,148500,1485,1485,1485,0,
18,26.0,57.0,17.0,0.0,38610,84645,25245,0,148500,1485,1485,1485,0,
19,27.0,55.0,18.0,0.0,40095,81675,26730,0,148500,1485,1485,1485,0,
