Generation,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,Total,Tit-4-Tat,Grudger,Always Cooperate,Always Defect,
0,25.0,25.0,25.0,25.0,30250,30250,27750,29875,118125,1210,1210,1110,1195,
1,38.0,37.0,0.0,25.0,45980,44770,0,19875,110625,1210,1210,0,795,
2,52.0,48.0,0.0,0.0,77220,71280,0,0,148500,1485,1485,0,0,
3,58.0,42.0,0.0,0.0,86130,62370,0,0,148500,1485,1485,0,0,
4,57.0,43.0,0.0,0.0,84645,63855,0,0,148500,1485,1485,0,0,
5,56.0,44.0,0.0,0.0,83160,65340,0,0,148500,1485,1485,0,0,
6,57.0,43.0,0.0,0.0,84645,63855,0,0,148500,1485,1485,0,0,
7,49.0,51.0,0.0,0.0,72765,75735,0,0,148500,1485,1485,0,0,
8,53.0,47.0,0.0,0.0,78705,69795,0,0,148500,1485,1485,0,0,
9,58.0,42.0,0.0,0.0,86130,62370,0,0,148500,1485,1485,0,0,
10,58.0,42.0,0.0,0.0,86130,62370,0,0,148500,1485,1485,0,0,
11,58.0,42.0,0.0,0.0,86130,62370,0,0,148500,1485,1485,0,0,
12,59.0,41.0,0.0,0.0,87615,60885,0,0,148500,1485,1485,0,0,
13,55.0,45.0,0.0,0.0,81675,66825,0,0,148500,1485,1485,0,0,
14,58.0,42.0,0.0,0.0,86130,62370,0,0,148500,1485,1485,0,0,
15,59.0,41.0,0.0,0.0,87615,60885,0,0,148500,1485,1485,0,0,
16,61.0,39.0,0.0,0.0,90585,57915,0,0,148500,1485,1485,0,0,
17,60.0,40.0,0.0,0.0,89100,59400,0,0,148500,1485,1485,0,0,
18,63.0,37.0,0.0,0.0,93555,54945,0,0,148500,1485,1485,0,0,
19,62.0,38.0,0.0,0.0,92070,56430,0,0,148500,1485,1485,0,0,
